experiment,amountpeople,match,iPhone
0,10000,6,2
1,10000,38,16
2,10000,40,12
3,10000,17,3
4,10000,10,4
5,10000,6,4
6,10000,40,12
7,10000,32,8
8,10000,8,8
9,10000,5,1
10,10000,30,9
11,10000,19,19
12,10000,12,5
13,10000,43,43
14,10000,70,19
15,10000,85,38
16,10000,14,14
17,10000,55,26
18,10000,20,6
19,10000,37,16
20,10000,66,24
21,10000,31,14
22,10000,18,5
23,10000,17,17
24,10000,111,47
25,10000,11,11
26,10000,48,48
27,10000,1,1
28,10000,7,2
29,10000,64,21
30,10000,65,65
31,10000,9,9
32,10000,55,55
33,10000,28,6
34,10000,7,1
35,10000,124,36
36,10000,94,32
37,10000,62,62
38,10000,2,2
39,10000,0,0
40,10000,22,6
41,10000,7,4
42,10000,2,1
43,10000,4,1
44,10000,79,30
45,10000,25,11
46,10000,12,12
47,10000,7,7
48,10000,34,15
49,10000,79,79
50,10000,38,15
51,10000,23,10
52,10000,94,37
53,10000,180,56
54,10000,2,2
55,10000,5,0
56,10000,7,0
57,10000,17,17
58,10000,11,2
59,10000,60,60
60,10000,10,10
61,10000,124,46
62,10000,10,10
63,10000,24,24
64,10000,6,6
65,10000,9,3
66,10000,60,18
67,10000,28,11
68,10000,4,1
69,10000,1,1
70,10000,25,25
71,10000,153,53
72,10000,5,1
73,10000,1,1
74,10000,17,5
75,10000,29,29
76,10000,11,11
77,10000,0,0
78,10000,3,3
79,10000,73,73
80,10000,77,24
81,10000,5,5
82,10000,2,2
83,10000,98,34
84,10000,58,16
85,10000,6,6
86,10000,133,133
87,10000,76,24
88,10000,37,14
89,10000,1,0
90,10000,4,2
91,10000,18,4
92,10000,4,1
93,10000,18,18
94,10000,70,25
95,10000,4,1
96,10000,7,7
97,10000,10,10
98,10000,2,2
99,10000,19,9
100,10000,181,81
101,10000,5,3
102,10000,14,8
103,10000,2,2
104,10000,38,38
105,10000,2,0
106,10000,207,207
107,10000,12,12
108,10000,24,11
109,10000,0,0
110,10000,118,118
111,10000,10,4
112,10000,0,0
113,10000,44,23
114,10000,11,11
115,10000,206,75
116,10000,14,14
117,10000,2,1
118,10000,20,20
119,10000,25,6
120,10000,5,2
121,10000,63,63
122,10000,10,3
123,10000,89,89
124,10000,0,0
125,10000,1,1
126,10000,4,1
127,10000,3,1
128,10000,0,0
129,10000,22,22
130,10000,6,3
131,10000,198,198
132,10000,9,3
133,10000,2,1
134,10000,45,14
135,10000,6,2
136,10000,12,5
137,10000,13,13
138,10000,16,5
139,10000,0,0
140,10000,12,4
141,10000,13,13
142,10000,19,2
143,10000,2,1
144,10000,14,6
145,10000,13,13
146,10000,56,20
147,10000,23,23
148,10000,25,8
149,10000,2,1
150,10000,6,6
151,10000,43,43
152,10000,5,5
153,10000,78,25
154,10000,25,9
155,10000,3,0
156,10000,32,32
157,10000,13,6
158,10000,25,9
